"Timestamp","Mention your Gender.","Are you planning to go for higher studies?","If yes, are/will you considering/consider applying to foreign universities for your Master's degree?","What is your current field of study?","If higher studies, then in which field?","What is/will be your preferred choice of country/continent for your respective field?"," On a scale of 1 to 10, how much will you rate your preferred choice of country on the basis of total expense?","On a scale of 1-10, how much will you rate the on field reality of your preferred country? (Considering factors such as Racism, safety, loneliness, etc.)","Do you feel that you have access to appropriate guidance towards going abroad for higher studies?","Is your choice of country affected by the immigration policies of that respective country?","Does your family favors going abroad for higher studies?","Mention your family income.","What are the Financial options would you be looking at for applying abroad?","Will you have to take a loan in order to study abroad for your higher studies?"
"2021/05/19 7:46:36 PM GMT+5:30","Male","No","No","Law/Journalism","Law/Journalism","Europe","10","7","No","No","No","0-3 LPA","I don't want to go till 2024","No"
"2021/05/19 7:49:50 PM GMT+5:30","Female","Yes","No","Mathematics/ Statistics","Mathematics/ Statistics","Asia","4","3","No","","No","3-6 LPA","",""
"2021/05/19 7:49:53 PM GMT+5:30","Female","Yes","Yes","Mathematics/ Statistics","Mathematics/ Statistics","U.S.A.","9","7","Maybe","Yes","Yes",">12 LPA","Scholarships","Yes"
"2021/05/19 7:50:12 PM GMT+5:30","Male","No","No","Mathematics/ Statistics","Mathematics/ Statistics","U.S.A.","10","4","Maybe","Yes","Yes","0-3 LPA","Scholarships;Part-time work","Yes"
"2021/05/19 7:50:52 PM GMT+5:30","Female","Yes","No","Mathematics/ Statistics","Mathematics/ Statistics","Asia","3","4","No","Yes","No","3-6 LPA","","Yes"
"2021/05/19 7:55:47 PM GMT+5:30","Female","Yes","Yes","Engineering/ Architectural, etc.","Engineering/ Architectural, etc.","U.S.A.","5","5","Yes","Yes","Yes","9-12 LPA","Scholarships","Yes"
"2021/05/19 8:02:36 PM GMT+5:30","Female","Yes","No","Mathematics/ Statistics","Mathematics/ Statistics","Canada","7","3","Maybe","No","Yes","3-6 LPA","Loan/Grants;Scholarships;Part-time work","Yes"
"2021/05/19 8:06:21 PM GMT+5:30","Male","Yes","Yes","Computer Science/ICT","Cybersecurity","Canada","8","7","Maybe","Yes","Yes","0-3 LPA","Loan/Grants;Part-time work","Yes"
"2021/05/19 8:12:09 PM GMT+5:30","Female","No","","Mathematics/ Statistics","","","","","","","","","",""
"2021/05/19 8:14:01 PM GMT+5:30","Female","Yes","Yes","Science (Physics, Chemistry, others)","Science (Physics, Chemistry, others)","Europe","","","Maybe","","","0-3 LPA","Loan/Grants;Scholarships;Part-time work","Yes"
"2021/05/19 8:19:38 PM GMT+5:30","Female","Yes","Yes","Mathematics/ Statistics","Mathematics/ Statistics","Australia","8","8","No","","Yes","","","Yes"
"2021/05/19 8:20:53 PM GMT+5:30","Female","Yes","Yes","Mathematics/ Statistics","","Europe","8","8","Yes","Yes","Yes",">12 LPA","Loan/Grants;Scholarships","Yes"
"2021/05/19 8:22:53 PM GMT+5:30","Male","Yes","","Mathematics/ Statistics","Mathematics/ Statistics","Europe","10","6","Yes","No","Yes",">12 LPA","Loan/Grants;Scholarships;Family bank;Part-time work","Yes"
"2021/05/19 8:25:48 PM GMT+5:30","Female","Yes","No","Commerce (Finance, Accounting, others)","Business and Management","Asia","5","3","No","No","No","3-6 LPA","Loan/Grants","No"
"2021/05/19 8:27:27 PM GMT+5:30","Female","Yes","No","Mathematics/ Statistics","Computer Science/ICT","Asia","4","6","No","No","No","9-12 LPA","Scholarships","No"
"2021/05/19 8:30:29 PM GMT+5:30","Female","Yes","Yes","Mathematics/ Statistics","Mathematics/ Statistics","U.S.A.","4","5","Maybe","Yes","Yes",">12 LPA","Loan/Grants;Scholarships;Part-time work","Yes"
"2021/05/19 8:33:38 PM GMT+5:30","Female","Yes","Yes","Commerce (Finance, Accounting, others)","Business and Management","Canada","7","8","Maybe","Yes","Yes",">12 LPA","Scholarships;Family bank;Part-time work","No"
"2021/05/19 8:34:43 PM GMT+5:30","Female","No","No","Commerce (Finance, Accounting, others)","Commerce (Finance, Accounting, others)","Europe","8","2","Maybe","No","Yes","9-12 LPA","Part-time work","No"
"2021/05/19 8:34:53 PM GMT+5:30","Male","Yes","Yes","Commerce (Finance, Accounting, others)","Business and Management","U.S.A.","8","7","Yes","No","Yes","9-12 LPA","Loan/Grants;Scholarships;Part-time work","Yes"
"2021/05/19 8:35:24 PM GMT+5:30","Female","Yes","No","Commerce (Finance, Accounting, others)","Commerce (Finance, Accounting, others)","Asia","5","3","","","No","3-6 LPA","","Yes"
"2021/05/19 8:36:20 PM GMT+5:30","Male","Yes","","Commerce (Finance, Accounting, others)","","","","","","","","","",""
"2021/05/19 8:36:48 PM GMT+5:30","Female","Yes","Yes","Commerce (Finance, Accounting, others)","Commerce (Finance, Accounting, others)","U.S.A.","10","","No","Yes","Yes","9-12 LPA","Loan/Grants;Scholarships","Yes"
"2021/05/19 8:37:38 PM GMT+5:30","Female","Yes","No","Commerce (Finance, Accounting, others)","Business and Management","Asia","7","8","Yes","Yes","No","6-9 LPA","Scholarships","Yes"
"2021/05/19 8:38:47 PM GMT+5:30","Female","Yes","Yes","Mathematics/ Statistics","Mathematics/ Statistics","Europe","3","3","No","Yes","No","9-12 LPA","Loan/Grants;Scholarships;Part-time work","Yes"
"2021/05/19 8:39:37 PM GMT+5:30","Female","Yes","No","Commerce (Finance, Accounting, others)","Business and Management","Asia","7","4","No","No","No","","Loan/Grants;Scholarships;Part-time work","Yes"
"2021/05/19 8:41:39 PM GMT+5:30","Male","Yes","Yes","Mathematics/ Statistics","Mathematics/ Statistics","Europe","7","8","No","No","No","0-3 LPA","Loan/Grants;Scholarships","Yes"
"2021/05/19 8:57:24 PM GMT+5:30","Female","Yes","Yes","Mathematics/ Statistics","Mathematics/ Statistics","Australia","5","7","No","No","Yes","6-9 LPA","Loan/Grants;Scholarships;Part-time work","Yes"
"2021/05/19 8:57:42 PM GMT+5:30","Female","Yes","Yes","Commerce (Finance, Accounting, others)","Commerce (Finance, Accounting, others)","U.S.A.","9","8","Maybe","Yes","Yes","3-6 LPA","Loan/Grants;Scholarships","Yes"
"2021/05/19 9:27:59 PM GMT+5:30","Male","Yes","Yes","Mathematics/ Statistics","Mathematics/ Statistics","U.S.A.","8","6","Yes","No","Yes","9-12 LPA","Loan/Grants;Scholarships","Yes"
"2021/05/19 9:29:18 PM GMT+5:30","Male","No","No","Engineering/ Architectural, etc.","Commerce (Finance, Accounting, others)","Europe","7","2","No","Yes","No","6-9 LPA","Scholarships","Yes"
"2021/05/19 10:09:40 PM GMT+5:30","Female","Yes","Yes","Science (Physics, Chemistry, others)","Science (Physics, Chemistry, others)","Canada","7","5","Maybe","Yes","Yes","0-3 LPA","Scholarships;Part-time work","No"
"2021/05/19 10:24:15 PM GMT+5:30","Female","Yes","No","Mathematics/ Statistics","Mathematics/ Statistics","Asia","9","8","No","No","Yes","6-9 LPA","Scholarships;Part-time work","No"
"2021/05/20 1:00:40 AM GMT+5:30","Male","Yes","Yes","Engineering/ Architectural, etc.","Computer Science/ICT","U.S.A.","6","5","Maybe","Yes","Yes","9-12 LPA","Scholarships;Part-time work","No"
"2021/05/20 1:01:02 AM GMT+5:30","Female","Yes","Yes","Mathematics/ Statistics","Computer Science/ICT","Australia","6","8","No","Yes","Yes","9-12 LPA","Loan/Grants;Scholarships","Yes"
"2021/05/20 7:52:09 AM GMT+5:30","Male","Yes","Yes","Mathematics/ Statistics","","Canada","5","","Maybe","Yes","Yes",">12 LPA","Loan/Grants","Yes"
"2021/05/20 10:35:02 AM GMT+5:30","Female","Yes","No","biotechnology ","biotechnology ","Australia","8","2","No","Yes","Yes","6-9 LPA","Scholarships;Part-time work","Yes"
